Brown	DPM
RAB34	1.06735975218342e-20	1.06735975218342e-20
ZC3HC1	0.000198922945219762	0.000936776514776316
ISCU	0.298748155213469	0.493335506720219
HNRNPUL1	0.050986693048284	0.152116191269622
TRIM28	2.86400221043078e-08	0.00114327755362396
IQGAP1	1.67596666628032e-10	1.67596666628032e-10
EMC3	3.2241613055797e-10	3.2241613055797e-10
ATP13A1	0.000193205861647623	0.000193205861647623
CCAR2	8.97796763458299e-08	1.64403320824211e-06
PCM1	0.021402684054178	0.0318201220435672
CLIC4	2.36851964188894e-07	2.36851964188894e-07
IKBKB	3.75495704981909e-05	3.75495704981909e-05
BPHL	0.00758893547939594	0.115900094832124
RANBP1	0.129286759592791	0.382655443777474
POR	1.05872365483629e-09	1.05872365483629e-09
DYNC2H1	0.000230829604835365	0.0049636636421677
ACAD9	0.0787582504393209	0.57233072010818
PICALM	0.000408917655234783	0.0155706572963548
BAG6	0.00841795961228113	0.00841795961228113
ATP1A3	6.49667806848693e-09	0.0269678946006651
ARHGAP23	3.94155262180062e-07	3.94155262180062e-07
GDI2	4.66765747033868e-07	0.000369904494864602
ATG4B	1.38638681057237e-05	1.38638681057237e-05
OPLAH	1.13789701741515e-10	1.13789701741515e-10
ARIH1	9.62325330492933e-07	0.000694638142712532
TAOK1	8.42569307557573e-05	0.794006971263115
GLS	1.14710881490569e-05	2.54488566454755e-05
SART1	0.000142402671505932	0.00500032656840916
RFTN1	2.82991241530854e-10	2.82991241530854e-10
CTTN	5.25772321214412e-07	5.25772321214412e-07
TUBB4A	0.000931535754824886	0.00885072314880685
CMBL	3.77332794656308e-05	0.00400291029777045
ZNF207	0.0648756969416361	0.0648756969416361
ACADVL	0.000281241620503117	0.00108809233003479
DHRS7B	4.03370777891572e-05	0.00406910385422157
ATG3	0.000847511289156215	0.543158926248289
MOG	0.000165944305668976	0.000165944305668976
PDIA5	1.71057254343244e-06	1.71057254343244e-06
PRPF31	2.84784673097379e-08	2.84784673097379e-08
PRKCSH	7.73210400372632e-05	7.73210400372632e-05
VPS4B	0.000158685152156473	0.740081845543286
RPL5	7.14627026958342e-08	0.641784323279823
DHX29	0.025716431496262	0.051672389598669
HNRNPH1	1.44282541206256e-05	1.44282541206256e-05
TECPR1	2.54331842766812e-07	3.06769230953825e-07
IDE	0.00374181077363414	0.0501205854375786
ATP6V1A	5.34466346593844e-06	0.80846288226572
SLC3A2	2.03466954915984e-05	0.000505194869531686
MRPS35	0.0699150233742128	0.129526310571365
ALDH18A1	0.00083463098003556	0.00402860612499771
TFRC	3.09037322590355e-07	3.09037322590355e-07
IPO9	4.75900896844407e-10	8.07593219855646e-07
DNAJC11	0.000425338035222473	0.00823900294784133
EXOC6B	0.00996582690580138	0.505274178323716
PSMF1	4.40151900731484e-05	4.40151900731484e-05
ATP2C1	9.70544316556635e-07	9.70544316556635e-07
RPS3A	5.46571742365491e-06	0.0133997347759107
CAST	8.25565849723377e-10	8.25565849723377e-10
AP3S1	0.000332611110640127	0.000332611110640127
FLNA	2.5013846980457e-08	2.5013846980457e-08
ERMP1	5.73054879552412e-05	5.73054879552412e-05
TPPP3	7.36846952491986e-13	7.36846952491986e-13
EIF3B	1.62144485090646e-05	1.70109804744502e-05
SRPK3	0.00013117919955485	0.000401851430627671
ALDH3A2	0.0135436919066344	0.130518934462123
CEP41	0.0112166726325296	0.0112166726325296
DHX30	0.00224475270075016	0.0117703960455435
SORL1	0.000146643313019159	0.000195353035880417
RPS14	0.00452807536345801	0.0668555768612539
VAMP1	5.47754140797413e-05	7.31656965021922e-05
SYNE2	5.25578525886751e-10	6.94697003813386e-05
U2SURP	0.000357643330623559	0.191546084935537
FER	2.4020420094808e-06	0.342860566339856
DMD	5.35672820566487e-05	0.0242916207272891
EBNA1BP2	0.00177488785824035	0.00177488785824035
APP	4.65828991507118e-05	0.00017889171676032
GPS1	0.000731744949775312	0.202945573104808
KPNB1	0.251340150532812	0.972123783561877
KIF1B	0.0102954447416966	0.219947878150596
USP11	0.572503308609964	0.572503308609964
DDHD2	6.49925269897153e-05	0.695020195459522
DTNA	0.183792732571856	0.919731912104416
PTPRC	3.82118642608336e-09	3.82118642608336e-09
SLC25A11	2.34819445817878e-06	1.41327378761965e-05
DDX5	0.0695164302912089	0.0695164302912089
PPP6R3	3.0576845219969e-08	0.94335117605759
PFDN1	1.57259330857648e-06	5.40114121364593e-05
MFGE8	0.000118800041098162	0.000118800041098162
B2M	1.10403674215276e-06	1.10403674215276e-06
FAH	2.46659771570296e-10	2.46659771570296e-10
GNB5	5.59102036176586e-05	0.000111922573484772
PACS2	3.32729635709607e-06	7.33569600922088e-05
CPM	0.00169724124340812	0.00169724124340812
RPS9	0.310486721824894	0.578609753422639
TNS3	2.51741415306487e-07	2.51741415306487e-07
SIK3	0.0896971909461523	0.40064281408289
TNS1	4.97383938135138e-06	4.97383938135138e-06
USP8	3.84304547635222e-05	0.153592100669786
PGM2	5.58240868939235e-05	5.58240868939235e-05
SEC23IP	0.00377883332405294	0.973887519242906
ASPH	2.98350474246487e-08	0.02612480693194
ATP6V1H	2.6701664637799e-07	0.0785209257471045
PTK2	1.45618865136903e-09	0.914190376847975
CCT7	0.475432386009654	0.931676733788897
COPS4	0.195037148911163	0.195037148911163
KIF5C	2.00146790483205e-08	0.0880300399847748
SF3B1	0.114034312924346	0.878690547356229
SLC12A9	9.02228233723048e-08	9.02228233723048e-08
AKR1A1	0.0023988514939113	0.00305209949748371
TXNL1	0.185918358122268	0.418094825061319
PDE4D	1.68800654858462e-05	0.00376555972568807
IFT27	0.0273688697816156	0.0486579229413193
PPIP5K2	2.64462052217611e-06	0.0130480767613797
EML3	0.00267852781385761	0.00547187456303778
ATP1B3	9.43520723565092e-10	1.27881359113401e-09
NACC1	0.000249072294121126	0.000933651780964672
RBBP4	0.0213724849590958	0.0251580493569686
REPS1	0.00595027140481402	0.247821977494434
CHL1	0.101309978770605	0.114327013084559
DST	2.44847638090071e-07	0.0864468373192109
COA3	0.0583697087645932	0.340672302734704
TIMM44	7.10477951343744e-05	7.10477951343744e-05
PEPD	2.56513252512317e-09	2.56513252512317e-09
EXOC6	3.79089489844343e-09	0.72689306223938
MYO18A	0.000381189684899443	0.000722125258528217
TAF15	1.85435891902742e-07	2.08445335955057e-07
APOA2	0.00370298014117029	0.00370298014117029
COL1A2	2.78879483134319e-07	2.78879483134319e-07
CTTNBP2NL	1.15736480967099e-05	0.00374428886122009
ERAP1	2.26871274446846e-06	2.26871274446846e-06
KATNB1	0.128967293651246	0.128967293651246
RAD23A	0.00251732066529751	0.013921742629284
TIMM50	0.482102308893445	0.529178388787979
ABCF1	0.346806902627241	0.492207614818213
CBS	0.0420479846868466	0.0420479846868466
MCM7	1.14316942014132e-05	0.07824873605527
GART	0.0266314626906132	0.0456210678932466
CAPZB	0.00185264821503533	0.00193892305570903
IST1	0.038516441651883	0.886544652691154
AP1G1	0.000161987261912475	0.139738825058698
BCR	6.27750893036654e-05	0.641004037378113
BDH1	4.85654481987143e-11	4.85654481987143e-11
DGKB	2.19433303496242e-09	0.00662048387663925
SLC25A12	2.1889023679788e-05	5.06988979534893e-05
MAGI1	1.87039125807429e-09	0.00382295037643782
COPA	0.00144037604832052	0.00144037604832052
CFB	2.69887354787972e-07	0.000983059637334405
NRBP2	0.000379558131335228	0.000379558131335228
ETFA	1.6025399450882e-06	0.000269583725032883
BCS1L	0.000895472407525285	0.228002073082994
PLD3	1.10546132845747e-06	1.10546132845747e-06
ISYNA1	1.77906154271033e-05	1.77906154271033e-05
PPP1R18	3.87096494052056e-09	3.87096494052056e-09
PAK1	0.000178545121025403	0.00240400055803544
RRM1	6.26496082883959e-07	1.38118224206378e-06
DOCK4	0.000316688814327029	0.000316688814327029
RGS10	8.12757048531808e-06	8.12757048531808e-06
GNB1	2.08557144917262e-05	0.000439430215429191
MYO9B	1.37221750494902e-05	1.37221750494902e-05
PFKL	3.16139703100508e-05	3.16139703100508e-05
PLCG1	0.000409254303344821	0.000409254303344821
PRPF8	0.351546089749357	0.591664348467364
RNF213	4.05977089100915e-07	4.05977089100915e-07
BTN3A3	0.000118740483237291	0.000199894584734748
LSM2	0.0274872113556891	0.131011148730439
CLTC	4.99949572243879e-05	0.000139804862612254
NTM	7.53692019615545e-07	0.023880638050317
ACBD6	0.000277237664233238	0.000548627411203912
DDAH2	0.000486753051092297	0.00584302565734787
BZW2	0.000140942760632636	0.0102619484290932
CAPN1	1.82668201022764e-07	1.82668201022764e-07
XPOT	0.145056788897777	0.306042490372663
DPYSL4	0.00132079311818284	0.27505707990162
PIP4K2C	2.67578859903008e-10	2.00671333484597e-05
NDRG1	3.18508320487701e-09	3.18508320487701e-09
TXNRD1	0.0144456666143336	0.0144456666143336
MRPS18B	0.000219997991084919	0.000219997991084919
PTPN12	7.65668057941746e-06	7.65668057941746e-06
CHCHD3	0.0178425148202917	0.0178425148202917
AP2B1	0.0309098767373511	0.866150006331371
SRR	2.08446852771051e-07	1.38856210602973e-05
LCMT1	0.00159500434749232	0.00279424053826457
GBF1	0.00593849588925079	0.0628561640141815
SREK1	0.000299770906123084	0.908184155283208
ATP6V1C2	0.170946524946818	0.801790839928764
STRN4	5.73779365079606e-05	0.000351769879892784
ATRX	0.0191890727005078	0.430845310768514
EIF4A2	0.292356044905908	0.968143862914427
DLG4	0.445117072470854	0.703310381573604
HDAC6	0.0299943179868341	0.0710895961474865
MARK1	0.053146511797984	0.429098984178091
AOX1	5.8149320878085e-06	3.93555272158511e-05
RAI14	9.045666586591e-07	9.045666586591e-07
OTUD7B	9.40926772357673e-06	9.40926772357673e-06
VPS45	0.000695714292870327	0.00716115534394516
LMNA	4.60455114870056e-13	4.60455114870056e-13
CD47	1.09309227536437e-05	5.7106975761699e-05
AGL	2.83179574012643e-05	4.6146433908684e-05
CSTF3	0.000238611659884363	0.587534243032832
NUP88	0.0037915818424973	0.00935102494340648
KPNA2	0.212937891683539	0.212937891683539
RAD23B	3.84984182160858e-05	0.0783916828625309
MOGS	2.40702968457411e-06	2.40702968457411e-06
ADD2	4.76338747299848e-07	0.0199787485114678
ECM1	7.01807289220688e-07	9.45013718565124e-07
AIDA	3.89406462802345e-05	3.89406462802345e-05
ACOX1	0.00512549568881754	0.00649589926078705
RAVER1	0.658878763381659	0.779156554747108
NDUFS4	0.0583842825692715	0.222140973082724
SLC25A3	5.73304246125545e-05	9.68624841184717e-05
DDX17	1.65401246069859e-05	0.000204636941180896
ARPC2	0.000239952614615608	0.000239952614615608
FKBP10	4.23784120779252e-10	4.23784120779252e-10
MLF2	0.000131624592767308	0.000989619997841083
ADCY2	1.86904603436823e-05	0.000918837490550714
DDB1	0.0287559572477789	0.910820838620228
CELF2	3.43444042648601e-07	0.135033423276103
VAMP3	0.000991919165549526	0.000991919165549526
BID	2.15247020617693e-09	0.0326008667186481
AMPD2	0.0253213203552707	0.0309467916873491
PALM	0.0213455384260533	0.0508240434762915
COASY	0.000501747241133181	0.00176090743046402
PKN1	2.92601259869358e-06	2.92601259869358e-06
GIPC1	2.14282761537606e-06	2.14282761537606e-06
DIP2A	1.93591987406619e-07	2.4222207860163e-07
MYOF	3.66300750605321e-08	3.66300750605321e-08
HK1	1.6780359203627e-06	3.94131275904703e-06
WASF2	2.96303191033708e-07	6.39476773933393e-07
CELSR2	8.05155031861878e-05	0.000115831880285083
GPC1	0.000938686935237343	0.00162341744464702
AGPAT3	7.78062736712642e-07	7.78062736712642e-07
SEC13	0.00819062427129217	0.00819062427129217
UBR4	0.00832799933493297	0.505619388715246
GNG2	2.72257687877784e-07	0.000251844355134515
PLIN2	6.14716595866028e-10	6.14716595866028e-10
HNRNPC	0.00122673280874457	0.00314006300593881
COQ6	0.225514956829096	0.982750912045618
HCFC1	0.0728222806511379	0.859161900678067
LAIR1	4.11678660695234e-10	4.11678660695234e-10
PRPF3	0.0117554059334742	0.0437803755795249
ARHGAP25	1.70620949989413e-12	1.70620949989413e-12
VPS52	0.0010345020537246	0.0013941400129851
TKT	8.27359256541621e-06	0.000130146172859172
SLC25A10	0.000689476108770824	0.000689476108770824
NDUFAB1	0.0422109320583277	0.494329797764512
APEX1	0.00156795718316061	0.993644434991501
OCIAD1	0.000153718156491886	0.000153718156491886
DCTD	2.33905928514335e-12	2.33905928514335e-12
PGM3	7.82817129135249e-06	0.00432467738452039
BAIAP2	4.64413537866979e-05	4.64413537866979e-05
NBAS	0.379750327989034	0.379750327989034
GLB1	6.97716195478354e-06	6.97716195478354e-06
TWF2	7.36373752616079e-09	7.36373752616079e-09
RAP1A	0.000230171889401527	0.00146158678328734
AUH	0.0882474733144784	0.155886898673292
COPS2	0.0279347196382424	0.18021324984724
SYP	0.000117085741830195	0.00233868690567497
CAMK2A	0.00707717331156013	0.0153336936591912
PLSCR1	2.33195961044983e-14	2.33195961044983e-14
PSMA5	0.00944185296436077	0.00944185296436077
HECTD3	6.90119215700299e-06	6.90119215700299e-06
C4A	1.00621042692038e-08	1.00621042692038e-08
SH3KBP1	0.000155971822149845	0.855966986140731
GCA	8.34572817380231e-11	8.34572817380231e-11
PPP1R7	0.104879425462192	0.265892301020847
SOD2	1.91609519591799e-14	1.91609519591799e-14
DNAJB2	5.23908499220629e-07	5.23908499220629e-07
SON	0.244212024465545	0.286501949896809
ABCA2	0.00438209928324644	0.0138823207870205
XRN1	1.96537700119638e-09	0.00219988515751638
TMED5	0.00148181905386362	0.00400316039859519
RPA3	0.000372747419535402	0.000970816208334303
CSDE1	0.0624771115887222	0.0624771115887222
PLOD1	1.81165894830213e-08	1.81165894830213e-08
SRSF10	0.000164829365949502	0.000324548329255314
DLST	0.0414139793772803	0.208919866753961
SRP54	0.0143643682792226	0.0143643682792226
EFEMP1	1.2864509513605e-10	1.2864509513605e-10
LRCH3	7.53768568938175e-05	0.149576219588344
PHKG1	0.00056508037837531	0.000626338205874683
CHMP2B	6.73443023170104e-05	6.73443023170104e-05
CCDC90B	0.197720767096919	0.805427005753147
LACTB	0.0770819333225059	0.0770819333225059
INPP4A	1.80990316601211e-07	1.34898442440039e-06
MPP2	3.18470087372183e-07	1.14125158935555e-06
TRAP1	0.000325544135099136	0.00288813738146959
MANF	1.63374632677245e-06	1.63374632677245e-06
PMM2	0.000181026473408056	0.000181026473408056
RPSA	4.62087049115056e-05	0.0125195924126939
SERPINF2	5.18599030173025e-10	5.18599030173025e-10
RALB	2.56300524157682e-08	2.60513103281024e-08
OSGEP	1.03277272471741e-05	0.0364635456126904
PSMC1	0.168721543005624	0.295792350311171
MAP7	0.00128536172035453	0.00143352461359678
ECHDC1	0.0013565368188859	0.0013565368188859
RPH3A	0.000122680144118509	0.000400079634670907
RGN	4.20509342500467e-08	4.20509342500467e-08
DKC1	0.214974913147447	0.307520103712078
OAT	0.00172847609879995	0.0140101689314668
DBI	0.033909166358304	0.102840757892811
GOT2	1.2573204425965e-05	4.63472048453978e-05
TUBB	1.10742924022305e-06	0.000101788161795083
AKT1	1.33825699922199e-06	1.33825699922199e-06
CTNNA2	9.91145243576513e-07	2.12233078839609e-06
PSMD11	0.00571150470755443	0.00571150470755443
PPP1CB	2.38852658064776e-08	2.38852658064776e-08
TEP1	0.0118954426778671	0.014994414863756
ACIN1	0.0257441800308119	0.0302669595608142
TECR	0.458756172179194	0.458756172179194
HERC4	0.0254464251687532	0.110286931939133
LRBA	1.135799897293e-07	0.000422565440089369
GYG1	8.05027879952661e-07	1.13186945652727e-05
RUFY1	0.00649653050888022	0.00649653050888022
SHROOM3	3.92347741499298e-11	7.47545717986801e-11
ANK2	0.000422857554957098	0.000745523191639895
CCDC88A	0.000662389550969392	0.00943880178712907
GALE	5.56612603818966e-06	5.56612603818966e-06
PPA2	0.000744501993475334	0.0157772407796289
SND1	4.9862615794576e-05	4.9862615794576e-05
MFSD10	4.65801109339199e-07	4.65801109339199e-07
IL1RAP	7.17259877856747e-05	7.17259877856747e-05
SAMHD1	0.594115054232992	0.674982897740087
RRAS2	0.000710642096525118	0.0720396360647404
GTPBP1	0.19542907119252	0.803331254906649
RAP2A	0.000359246808309366	0.00867301289847467
RABGAP1	7.71336996227047e-07	0.00375642973265969
RAB3GAP1	0.00220111331064952	0.00220111331064952
CHN1	0.000228379804802516	0.000299820943897976
GNL1	5.37540979565981e-06	7.32582023165483e-05
NCAM1	8.27117186398314e-06	8.27117186398314e-06
NAPA	1.44222709359827e-06	1.44222709359827e-06
RPL10A	0.00986022242102098	0.888720806059912
MCAM	1.12728117923509e-08	1.12728117923509e-08
SLC8A1	3.70117202752573e-06	0.00743289872044897
VSNL1	4.63021928799093e-06	0.0010641213271302
KDSR	7.08832209627632e-08	7.08832209627632e-08
AP3D1	0.000417574501026911	0.000417574501026911
CIRBP	6.80402537313287e-10	3.40142111159326e-06
SF3B5	0.0655553031768943	0.971511722003654
ATP6AP1	5.28277425205748e-05	0.00354630957206631
TPP2	0.000702644455794341	0.98922687341086
STIM1	9.73301641946869e-08	9.73301641946869e-08
MICAL3	0.0603631453169991	0.425345577644174
THOP1	2.3479141784048e-05	0.0177731241471512
SMC3	8.41654536657717e-09	0.00252225003572469
EMC2	3.68280528612504e-05	3.68280528612504e-05
SORBS3	2.00951913886322e-12	2.13346890125692e-11
BNIP1	0.0174917075413561	0.0237427544118244
HMGN1	0.00578701659186447	0.00732915340273144
RAN	0.000225760866405581	0.00119247592858317
DBN1	0.121942516343244	0.179113418238489
PKIG	2.99489258749623e-06	3.47966743428152e-06
AGPAT5	0.00989318309277116	0.324430186532902
EPHX2	9.66065805660735e-11	9.66065805660735e-11
NID2	0.00022831413429551	0.000243753244177275
WFS1	0.041042355371263	0.041042355371263
CLIC1	3.33186448345499e-12	3.33186448345499e-12
DCTN3	0.00064659862421566	0.00064659862421566
PLXNB3	0.00411393335569523	0.0160168833698518
ATL1	6.54715795496202e-05	0.0403250378361997
RBM39	1.72014321075905e-06	1.37029867008926e-05
MRPL39	0.0293222346473725	0.0293222346473725
ACTN2	6.36864254989749e-07	1.19180753444009e-06
TCP1	3.74666206062201e-07	0.00181231417932416
MPDZ	1.82092660860195e-06	0.356263165455379
PPP1CA	1.18791820919992e-06	1.18791820919992e-06
SPTBN2	6.07739788315856e-05	0.00485418063039274
CAP1	4.44095388183774e-09	4.44095388183774e-09
PMPCA	1.13430082156454e-05	0.119232382574355
CYFIP2	5.20305537526746e-07	1.02771466187998e-05
AK5	6.61403933756042e-05	0.00417622580457974
LUZP1	1.95764974329399e-05	0.101944823827556
CLNS1A	0.000193088864456041	0.254818461876729
RPL14	0.0095698032966114	0.0269391823707029
ANPEP	0.000808448968887351	0.000808448968887351
COQ7	0.078730151739848	0.460045276063403
PFKM	0.0346280789317774	0.321034951013624
RPL6	6.85850797939681e-05	0.0564360499507387
DYNLL1	0.533200776933929	0.708967733045844
OSBPL8	1.89191175675638e-12	0.0124288900957975
POLR2H	9.16785249021854e-06	0.000174473631117631
RBM3	3.88633172281706e-06	3.88633172281706e-06
SEC24D	3.02579526295813e-06	3.02579526295813e-06
STX18	8.8719719654095e-08	8.40454126327017e-07
TBC1D5	0.00024434897851839	0.256793521259123
RASAL1	2.12852680926418e-05	2.74605569945338e-05
IPO5	2.13294221307105e-08	0.0436793649032248
PNPLA6	1.94492762730153e-05	1.94492762730153e-05
YWHAZ	1.25940985473825e-07	2.70355157987517e-06
ATPAF1	0.00388935242299499	0.00388935242299499
PANK4	0.00788565039454889	0.0167683102368915
MLST8	0.396396888663776	0.674895683157268
SAP18	1.63442452275537e-05	6.00933504768157e-05
CRTC3	5.25260513624414e-07	0.000385854433260544
DNAH1	2.78579652565929e-06	2.78579652565929e-06
ITIH1	3.82151690824921e-08	3.82151690824921e-08
TRIO	1.94110735341688e-06	1.94110735341688e-06
RAB7A	3.04564221555422e-06	0.00887664169007956
CLTA	0.0306230335184522	0.039540209741726
XPO5	0.12733025462202	0.135821725000789
MAPK10	5.27539295366339e-05	5.27539295366339e-05
ATAT1	0.00384767481683856	0.00384767481683856
PYGM	0.000403782562779386	0.000403782562779386
FRMD4B	9.62390833163949e-07	5.48679486117928e-06
COL4A2	4.99096901359016e-08	4.99096901359016e-08
PPIL3	0.000235729563062756	0.000235729563062756
CSRP1	7.13392542854283e-11	7.13392542854283e-11
PSMD2	7.34378767101886e-07	7.34378767101886e-07
TM9SF2	0.000265923049805619	0.000265923049805619
CAND2	0.00348661802166355	0.00348661802166355
SV2A	0.000489239764926827	0.00181172955254231
ASPSCR1	9.32881648329048e-06	4.88305503822548e-05
GPHN	7.94004374448222e-06	0.0576952235581647
PRMT1	0.0132280901191853	0.0132280901191853
GOLPH3	0.154676392622653	0.247504594360147
GAS7	0.00124706505267483	0.00124706505267483
ARHGAP28	2.40306281347612e-12	9.55732721516639e-05
EHBP1	6.74454672005661e-07	0.18533859562908
HADHA	0.390596389582721	0.926054253318378
ABRACL	5.65572558822825e-12	5.65572558822825e-12
ITPA	4.1797403206175e-08	4.1797403206175e-08
RPS18	0.00485380947561382	0.0079512519926647
GLOD4	0.00135835832888111	0.161861754993119
GIMAP4	1.13838520268735e-08	1.13838520268735e-08
ACAA1	2.62851296224391e-09	2.62851296224391e-09
APBB1	0.00189748388089835	0.0261544944123081
SF3B2	0.294210809607696	0.890325526394651
EEF1D	0.763544119578209	0.810405650284645
OSBPL9	1.79320807750858e-07	1.79320807750858e-07
DNAJB12	0.0935857949158868	0.783874287627038
PSMB9	1.5121667795469e-07	1.5121667795469e-07
CD2BP2	0.00537981653007224	0.388615601954475
XPNPEP1	4.20557134600257e-07	0.000367687684927625
UGP2	9.87285776127608e-09	9.87285776127608e-09
PDIA6	1.39608765096332e-12	1.39608765096332e-12
BLVRA	4.27409929851262e-09	2.22861568316825e-08
SCIN	7.76449954410711e-06	7.76449954410711e-06
HIBCH	0.000341278589253459	0.0858538527407732
ERGIC1	2.00642535787551e-10	2.00642535787551e-10
GPD2	3.17171168122165e-05	0.167581470347078
CDC16	0.0218333484845625	0.0218333484845625
PI4KA	3.8037431442854e-05	0.0903305845329513
AIF1	1.57956324862985e-08	1.57956324862985e-08
LARS2	1.63408551073437e-05	1.66013997575322e-05
TRA2A	7.37646632629806e-10	7.49887077109133e-10
CDC42BPA	0.00188379742933228	0.0982665249961411
SLC6A17	0.000160505861986625	0.00769686940939032
RPL23A	0.0702027416976043	0.999482168521937
SMG1	2.54779119263985e-09	0.0183114496885613
EARS2	0.000206336144860915	0.000216246387613599
HNMT	0.599891967309198	0.996546696109724
ATXN2	1.18265240458543e-07	0.56911588400987
CUTA	1.29713789312732e-05	0.264991373901871
GALM	9.93983763434147e-10	9.93983763434147e-10
PTMA	0.00045525890218306	0.0350005820111405
SFXN5	3.56234362015453e-08	5.20688867833724e-08
DPP9	1.22641568826965e-07	1.22641568826965e-07
LYPLAL1	0.00604393659090654	0.0849345929005163
AKT2	7.3431811993076e-05	7.3431811993076e-05
TJP1	1.60928891697457e-06	0.0181425256585636
PDS5B	4.63449397871073e-10	0.0357757334966384
CORO1A	1.32222119361148e-06	1.32222119361148e-06
RHOT1	5.16186015844425e-05	0.0041144615405307
TTC21B	0.00284175132270688	0.0352645553741716
PANK2	8.61626146532065e-05	8.61626146532065e-05
EPB41L3	0.297892868846762	0.297892868846762
SQSTM1	5.66126407689319e-12	5.66126407689319e-12
CTSZ	1.36524471792152e-11	1.36524471792152e-11
UQCRC1	0.000100551549820483	0.00256034773782055
ABCF3	0.00170043509495074	0.411519725607921
FARP1	0.000173526135671137	0.0113631091780474
MSI2	5.26189547789897e-06	5.26189547789897e-06
LMAN1	2.11911329055823e-06	2.11911329055823e-06
BDH2	0.000284068438980215	0.000321201891736997
GRHPR	0.173708341355628	0.634305631830214
WDR35	4.81933002356623e-05	0.00188636580261099
CTNNA1	3.79783244800366e-09	3.79783244800366e-09
IGFBP3	5.50393378673623e-05	0.00018145258532319
CKAP4	2.01925513781636e-05	2.01925513781636e-05
ITGB8	0.00491110146357859	0.00491110146357859
RDH14	0.0152691435754746	0.0180099317288812
MAP4	7.69730175609979e-06	7.69730175609979e-06
LAMA4	0.0425599478843554	0.0425599478843554
