rna	protein	methylation
GCFC2	0.0526790970403787	0.27608428271927	1
CROT	0.364966750828211	0.853047912668327	1
KMT2E	0.402596442154961	0.226368752778801	1
RHBDD2	0.0011268942283984	0.538576727160961	2.7044448832992e-08
SOX8	1.47101549021639e-05	0.0203900915851269	0.0179925903178275
IBTK	0.239581617257317	0.010140378534923	1
ZNF195	0.177740569569693	0.226478463337565	1
MYCBP2	0.352906882282937	0.795385805194481	1
ITGAL	0.725760170094755	0.152721968493769	1
PDK2	0.599692276386861	0.199913511108796	1
ITGA3	0.0186533107945394	0.994088338219466	1
ZFX	0.513156519806033	0.702553943316223	1
LAMP2	0.0823366525867401	0.619598904466966	1
ITGA2B	0.341091228256431	0.500158378158135	4.76554164458009e-10
GDE1	0.373141663283033	0.472328250759407	1
OSBPL7	0.0250076716875526	0.970448180392886	1
TMEM98	0.00911300506286233	0.863492063492063	0.0982975225783128
ABCC8	0.227382121759549	0.915298724831575	1
CACNG3	0.434242634594365	0.538576727160961	1
TMEM132A	0.532943802701451	0.27608428271927	1
AP2B1	0.00989207379160602	0.369976338761913	1
TAC1	0.325718829993052	0.205162605871226	1
CX3CL1	0.513156519806033	0.543799593871294	1
SPATA20	0.000418663857507504	1	1
CACNA1G	0.0809227026438469	0.417465008293705	1
TNFRSF12A	0.000145302302819928	0.55832602888094	4.76554164458009e-10
RALA	0.720097684691909	0.128789280167756	1
ETV1	3.30907906360152e-05	0.179404209797208	1
AGK	0.318196830411695	0.876353071543692	1
ALDH3B1	0.249015337973542	0.427901135282375	1
FARP2	0.279072916392956	0.841441945501886	1
IFRD1	0.285706838171043	0.058844215587877	1
PAF1	0.703199259335796	0.170465732142578	1
VPS41	0.930927847880785	0.165891280705499	1
ARHGAP44	0.624699740003269	0.829870331803484	1
ELAC2	0.345002569785677	0.55832602888094	1
SCIN	0.972944354349335	0.362118279299247	1
ARSD	1.76806784655251e-08	0.0001066111309332	0.00657612079164079
MARK4	0.972944354349335	0.339177541811826	1
PROM1	0.138426687758681	0.157020334542396	8.33969787801516e-10
CCDC124	0.610273836420109	0.107878014597277	1
PAFAH1B1	0.68644001853673	0.0741598123676629	1
NOS2	0.0959353191233166	0.224470669646381	5.91671779809897e-05
DNAH9	0.00701722405613785	0.598849415191798	0.0265595830873517
GAS7	0.972944354349335	0.377939487321328	1
MATK	0.936921566913605	0.436586762436574	1
TKTL1	0.0563937282574093	0.772611799575185	1
PAX6	0.88909472192918	0.556938476990823	0.000912972579769742
RPUSD1	0.555625296280821	0.141020058532763	1
RHBDF1	0.0585429592498171	0.269603408140199	1
LUC7L	0.847555039858339	0.5683309908015	1
CACNA2D2	0.0366337551090055	0.029938243706112	1
BAIAP3	0.0204472339323378	0.0531363850298677	0.00369651270654508
TSR3	0.918951968110163	0.12149461263127	1
PIGQ	0.402596442154961	0.509624754672974	1.46659544111952e-07
TEAD3	0.00207699329951017	0.928291351955818	1
DNAJC11	0.0943449214211881	0.0869826237433354	1
PSMB1	0.697597025888017	0.705526359166247	1
SYN1	0.871249718616199	0.935043046278691	1
JARID2	0.00332731598791021	0.384126984126984	1
CDKL5	0.594431504106697	0.705526359166247	1
CAMK1G	0.310784542315723	0.454259357818172	0.000304776165168722
NADK	0.523004171416484	0.528835161908329	1
CYTH3	0.523004171416484	0.227160506622712	1
ADAM22	0.00159325289330394	0.199913511108796	0.0196052492529378
SYPL1	0.00781466530336414	0.727664348535171	1
CYB561	3.78534625696438e-07	0.969876847874803	2.7044448832992e-08
SPAG9	0.0975460767312917	0.232913564993497	5.93309934750222e-08
CELSR3	0.0630351284450379	0.244727996007518	1
AASS	0.460696061262847	0.419316947256383	1
MPND	0.0331599861977033	0.0737490003315974	1
MGST1	0.156043882332541	0.221509489353476	1
CRY1	0.966934981833271	0.787172269320959	1
PGLYRP1	0.213128409055227	0.111163338266246	4.56658028091887e-07
NFIX	0.083769597983066	0.0310767952238468	1
MAPK8IP2	0.151494842900789	0.119203836204797	1
MED24	0.00188264324627722	0.65129530509798	1
HEATR5B	0.0975460767312917	0.619598904466966	1
RPS20	0.0112342616454624	0.0462521650786471	1
CSDE1	0.0255621446310393	0.0513397044021404	1
UBE3C	0.0106801507405333	0.019600451856125	1
TENM1	0.0439019108818546	0.750031981357858	1
MASP2	0.249015337973542	0.911506474750994	1
FAM76A	0.069026411412646	0.282670603105127	1
TRAF3IP3	0.835755624581417	0.578420892719129	1
POMT2	0.285706838171043	0.227160506622712	1
VTA1	0.0447761577778831	0.161409789892606	1
BAZ1B	0.282234221118993	0.303064484317034	1
RANBP9	0.548022644319972	0.092588850229823	1
SPRTN	0.0228874450690774	0.671722368184109	1
ZNF207	0.0484135070408113	0.157020334542396	1
UQCRC1	0.996993272939703	0.619598904466966	1
STARD3NL	0.138426687758681	0.32441362099169	1
CD9	0.130187293908818	0.481509050840671	1
NCAPD2	0.0323529724632102	0.0401348180845839	1
IFFO1	0.484178631787963	0.738820537503303	2.06026279149309e-06
NISCH	0.107646483092713	0.5683309908015	1
STAB1	0.484178631787963	0.970448180392886	1
PRSS3	0.268618221198779	0.578420892719129	1
CD4	0.990979981137763	0.795385805194481	1.42966249337403e-09
BTK	0.783129816021093	0.683634890934618	1
HFE	2.2258239053401e-06	0.992189230266444	2.01344134483509e-08
SCMH1	0.318196830411695	0.888888888888889	1
FYN	0.0140349925070997	0.303064484317034	1
HIVEP2	0.352906882282937	0.876470074483802	1
LYPLA2	0.484178631787963	0.761296480002007	1
CLCN6	0.136331824879589	0.0401348180845839	1
MRC2	0.000512193326806376	0.0125279726152653	1
SLC6A7	0.386109782470576	0.958636533973896	1
TSPAN9	0.163051564123562	0.80449274880142	1
APBA3	0.599692276386861	0.0125279726152653	1
MKS1	0.0881839367972738	0.356621376353866	1
ABHD5	0.669827063574305	0.101538275149045	1
ANOS1	0.0112342616454624	0.694548778780357	1
AKAP8L	0.0923147023179208	0.481509050840671	1
MBTD1	0.000256659184659098	0.0187675070028011	1
UTP18	0.177740569569693	0.694548778780357	1
RNF216	0.207064874867795	0.500158378158135	1
TTC19	0.466599614712764	0.199913511108796	0.000128701315255599
PTBP1	0.420008979973042	0.88804729497073	1
DPF1	0.107646483092713	0.362118279299247	1
SYT7	0.381424027384796	0.750031981357858	1
LARS2	0.485673231829305	0.853047912668327	1
PIK3C2A	0.19690805533623	0.509624754672974	1
PLAUR	0.000647566407352931	0.0869826237433354	0.000449472067846025
ANLN	0.118748323771831	0.303064484317034	1
WIZ	0.190680595803861	0.41083487637907	1
RABGAP1	0.00410835945689747	0.0288357353325397	1
DCN	0.0563937282574093	0.144394620955936	1
QPCTL	0.00410175280214478	0.750031981357858	1
PPP5C	0.442358207032157	0.362118279299247	1
CEP68	0.00029941535664798	0.0741598123676629	1
MAP4K3	0.120405452784465	0.481509050840671	1
TYROBP	0.345002569785677	0.619598904466966	0.011834268970293
GABRA3	0.0126945133735031	0.0741598123676629	1
BRCA1	0.990979981137763	0.338457560273586	1
ERCC1	0.498560431184108	0.132562024084012	1
SEMA3B	0.104195680800425	0.363809920679774	1
PRICKLE3	1.26949925696168e-07	0.537862593429059	1.01827711090565e-06
LTF	0.00116751940643543	0.0431018461238187	1
EXTL3	0.271981083219954	0.06505208209248	1
ELOVL5	0.493742482749911	0.269603408140199	1
ALOX5	0.258693889247709	0.472328250759407	4.76554164458009e-10
CALCOCO1	0.0140349925070997	0.165891280705499	1
UBR7	0.604973127272146	0.672786708421045	1
MAP4K5	0.00294360299280498	0.0373428699853714	0.00413591578058881
EHD3	0.0147305605728027	0.538576727160961	1
PSMC4	0.64248254655781	0.41083487637907	1
MAN2B2	0.30348208784289	0.136419797788146	1
MVP	0.227382121759549	0.377939487321328	1
NUB1	0.230391558709467	0.716565579503623	1
PGM3	0.151494842900789	0.0869826237433354	1
RWDD2A	0.069026411412646	0.0289314669505799	1
CLK1	0.0199859365521146	0.688504131549072	1
POLR3B	0.000699018108239706	0.232913564993497	1
ANGEL1	0.136036756000446	0.782590893123448	1
DNASE1L1	0.190680595803861	0.408624953519903	0.00179550299865245
HEBP1	5.04340001495275e-06	0.250790374339723	1
MAMLD1	0.00740688530188226	0.202359854824084	0.110790677361741
TACC3	0.589191024123569	0.232913564993497	1
CAPN1	0.230391558709467	0.472328250759407	1
SLC30A9	0.307119580544439	0.12149461263127	1
MTMR11	0.438785037462477	0.81833550301967	0.000870252000835445
CCDC88C	0.0881839367972738	0.841441945501886	1
YAF2	0.325718829993052	0.994088338219466	1
ZMYND11	0.00176190908671781	0.0212073387417796	1
WAS	0.942918705896909	0.853047912668327	1
DPEP1	0.783129816021093	0.853047912668327	1
BID	0.0209172803434025	0.716565579503623	1
MATR3	0.403223235386	0.06505208209248	1
STMN4	0.0484135070408113	0.128789280167756	1
NUDCD3	0.019089096540952	0.019600451856125	1
CHDH	0.00285380923901232	0.519184084823926	1
GLT8D1	0.104871782494032	0.982266312688503	1
ATP2C1	0.812265023474445	0.117970523517539	1
IGF1	0.932465276695708	0.836702741441234	1
SLC38A5	0.201498648775459	0.588610485291682	1
RALBP1	0.0439019108818546	0.445373097879417	1
RUFY3	0.00305482105901545	0.06505208209248	1
CNTN1	3.93958719710101e-05	0.0032666152126188	0.0353879796361519
WWTR1	4.93832482913459e-05	0.0003082118108775	1
AGPS	0.0959353191233166	0.54840747009319	1
ATP1A2	0.984967180393689	0.88804729497073	0.00115371845084772
TTC27	0.165437002096257	0.179897106213268	1
PHLDB1	0.647915917417165	0.0954988281153306	7.55338350665945e-08
PRDM11	0.0242336888594751	0.263791354852089	1
SYT13	0.788934983017163	0.921861524325661	1
CD74	0.442358207032157	0.107878014597277	4.88742037214023e-06
HGF	0.771554365810948	0.538576727160961	1
ZRANB1	0.00283316783832062	0.774002991318935	1
NCDN	0.364966750828211	0.528835161908329	1
ZFP64	0.523004171416484	0.1724456476762	5.4112725374207e-07
MNAT1	0.00159325289330394	0.250790374339723	1
SAMD4A	0.589191024123569	0.65129530509798	1
MRE11	0.0522827527646013	0.619598904466966	1
PLEKHB1	0.853467196636022	0.705526359166247	1
SERPINB1	0.0255621446310393	0.0288357353325397	1.19138541114502e-10
SPAST	0.00720983056934898	0.289362615318698	1
NRXN3	0.68644001853673	0.111163338266246	1
OSBPL5	0.394610528958522	0.0173895984282517	1
AQR	0.198754956079933	0.946833961802666	1
CPS1	0.0035346499508434	0.0105826293893526	1
C8B	0.458745375844853	0.911506474750994	1
FHL1	0.0943449214211881	0.0288357353325397	1
GABRA1	0.318443815778334	0.117970523517539	0.00496469112799773
RNF10	0.221443787928816	0.472328250759407	1
ZDHHC6	0.180277271192919	0.528361027072211	1
GRAMD1B	0.27537135803204	0.923266362134876	1
RNH1	0.00682898485729275	0.205162605871226	1
NDUFS1	0.224399550509625	0.829870331803484	1
RB1CC1	0.245843614593239	0.694548778780357	1
ERP44	0.578771792660395	0.0954988281153306	1
ALAS1	0.563300366362057	0.598849415191798	7.3888293536721e-05
BIRC3	2.16385575705515e-05	0.472328250759407	1
AKAP11	0.523004171416484	0.056887536049312	1
GLRX2	0.631670798112107	0.627554132122162	1
SNAPC1	0.484178631787963	0.019047619047619	1
DERA	0.794751385988549	0.0842840627462018	1
STRAP	0.835755624581417	0.114527135166908	1
DEF6	0.783129816021093	0.331742496067516	0.000322673633369107
PLEKHO1	0.000418663857507504	0.114527135166908	1
GCLM	0.109403893319245	0.772611799575185	0.0129800719756077
UBR2	0.120405452784465	0.588594221619354	1
EHD2	0.000274635775182143	0.0188376544640628	1
CCDC28A	0.537947676114568	0.0629253624213935	1
RRAGD	0.0912246093150989	0.339177541811826	1
PHF20	0.100829268949264	0.16790285880893	1
HSD17B6	0.023403112398517	0.525808930248442	1
TYMP	0.424427289102306	0.970448180392886	1
NCAPH2	0.230391558709467	0.795385805194481	1
TOMM34	0.631670798112107	0.386007358614507	1
SEC63	0.124250128189931	0.0065442004021021	1
KPNA6	0.771554365810948	0.935043046278691	1
FAS	0.000326086252135379	0.0373428699853714	1
CD44	0.00276636510582432	0.472328250759407	1
AGPAT4	0.0447761577778831	0.232913564993497	1
BTN3A1	0.488948498909822	0.0045434488595927	1
MIPEP	0.130187293908818	0.170465732142578	1
PRKCH	0.282234221118993	0.289362615318698	2.26363228117554e-09
IFNGR1	0.394047875531547	0.898731801945819	1
B4GALT7	0.227382121759549	0.06505208209248	1
VRK2	0.0154545927637503	0.064858735989534	1
TNFRSF1B	0.61559418440011	0.603349105674687	1
VEZT	0.11118283365497	0.18475576467892	1
BRD9	0.00502460272569926	0.263227691353225	1
SNX1	0.180277271192919	0.81833550301967	1
TBPL1	0.000699018108239706	0.0415959381701969	1
BCLAF1	0.124250128189931	0.970448180392886	1
ANK1	0.620933945121149	0.841441945501886	1
TFB1M	0.394047875531547	0.795385805194481	1
RABEP1	0.610273836420109	0.935043046278691	1
HMGB3	0.177740569569693	0.694548778780357	1
NUP160	0.765784668268733	0.419316947256383	0.00496469112799773
GRN	0.36904074503398	0.339177541811826	1
ARHGAP31	0.0035346499508434	0.598849415191798	1
RANBP3	0.0741324734356036	0.578420892719129	0.00221389777804875
ARID4A	0.165437002096257	0.263227691353225	1
EIPR1	0.0715439325890635	0.144394620955936	1
PNPLA6	0.484178631787963	0.994088338219466	1
IFT88	0.924937874581048	0.339177541811826	1
ALG1	0.00251762601443555	0.0006717918058675	1
ZCCHC8	0.484178631787963	0.946833961802666	1
CHPF2	0.0641994357632442	0.0717904623916318	1
LRRC7	0.151876515927639	0.132562024084012	1
FUT8	0.019089096540952	0.0049834617507375	1
UBA6	0.812265023474445	0.630089834988991	1
GAB2	0.0047445310340333	0.194763176462798	1
ATP6V0A1	0.151494842900789	0.54840747009319	1
PIAS1	0.23093123351332	0.736146784219637	1
SLC4A7	0.594431504106697	0.117970523517539	1
APBA2	0.0046095458740606	0.282670603105127	1.19138541114502e-10
MAP2K3	0.0034296471049043	0.0081667348925709	2.38277082229005e-10
RNF19A	0.823991467312772	0.175134047312123	1
PEX3	0.626292893585902	0.598849415191798	1
FAM136A	0.389813314691594	0.640655901322456	1
VCL	0.818123379134625	0.0816536593184558	1
DAPK2	0.466599356491771	0.60918486246129	1
NSMAF	0.207064874867795	0.876353071543692	1
ADSS2	0.877191531969555	0.0181009487394497	1
TIMP2	0.895055463731752	0.41083487637907	1
RFC1	0.212736724871237	0.772611799575185	1
TBC1D23	0.725760170094755	0.101538275149045	1
CUL3	0.0570569268008792	0.0310767952238468	1
CYP46A1	0.112983447835892	0.935043046278691	1
ZZZ3	0.201498648775459	0.812455865799775	1
USP2	0.737128012448743	0.611596163041313	1
TUBG2	0.076793279454561	0.354365624619421	1
RPL26L1	0.381424027384796	0.899765938477385	1
NSUN2	0.0809227026438469	0.528835161908329	1
FBXO42	0.0389395872155092	0.683634890934618	1
MRI1	0.258693889247709	0.509624754672974	0.000128701315255599
AGA	0.00139001116936054	0.132562024084012	1
PI4K2B	0.465343210693384	0.125100501967154	1
BOD1L1	0.188041103098111	0.806839866740437	1
MAT2B	0.984967180393689	0.463244705418096	1
EDC4	0.0896943939783226	0.377939487321328	1
TRIO	0.777336178380646	0.369976338761913	1
VCAN	0.0357882544921124	0.036010035626059	1
CLEC16A	0.0389395872155092	0.88804729497073	1
MSR1	0.163051564123562	0.215959922023962	1
CDH1	0.723052857738832	0.683634890934618	1
DNAH5	0.000907656467281891	0.853047912668327	1
ZFYVE16	0.30348208784289	0.588594221619354	1
RIPOR1	0.90699364933795	0.362118279299247	0.00240255747033688
C6	0.0709509113033113	0.958636533973896	1
RAI14	0.198754956079933	0.0014061719401751	1
PNKP	0.172743454316971	0.5683309908015	1
PHLPP2	0.630163612105978	0.232913564993497	1
SPDL1	0.14268720382479	0.640974542538917	1
STAU2	0.333350369642741	0.263227691353225	1
RTN4R	0.437837040713213	0.346718640199318	1
PHF23	0.389813314691594	0.0462521650786471	1
CDH10	0.708816958400393	0.310074615721289	1
INPP4A	0.14268720382479	0.761296480002007	1
RAB27B	0.00207699329951017	0.55832602888094	3.57415623343507e-09
PSMA4	0.224399550509625	0.346718640199318	0.0442371686005631
LSG1	0.282234221118993	0.0608564500479017	1
TDP1	0.201498648775459	0.27608428271927	1
AIFM2	4.93832482913459e-05	0.0002594428790521	4.62257539524269e-08
RETSAT	0.428871472734641	0.683634890934618	1
CAPG	0.00701722405613785	0.012014050285243	7.62486663132815e-09
AP2S1	0.00285380923901232	0.519184084823926	1
DCUN1D1	0.102501999242435	0.205162605871226	1
JADE2	0.608432417852715	0.386007358614507	1
ZIC2	0.085221691374758	0.921935637403056	2.38277082229005e-10
LCP2	0.594431504106697	0.795385805194481	0.000322673633369107
TRIT1	0.000512193326806376	0.572405193021878	1
CTNNA1	0.236491254195405	0.0446535740619552	1
PHKA2	0.411250381215378	0.06505208209248	1
CNTLN	0.90699364933795	0.0154005332062763	1
EPHA3	0.227382121759549	0.346718640199318	1
DSG2	0.00759830451632441	0.365677498844557	0.102337878288182
GEMIN8	0.360919740299306	0.993472304043346	1
GPM6B	0.829868985222966	0.0054616581252945	1
PREX2	0.0140349925070997	0.5683309908015	1
WDR37	0.00139001116936054	0.0167028816738824	1
YTHDC2	0.503402192533129	0.0373428699853714	1
CTPS2	0.136331824879589	0.783975673771804	1
ATP6V1H	0.788934983017163	0.41083487637907	1
POLR2B	0.105910460768063	0.982266312688503	1
ARAP2	0.12620636209424	0.269603408140199	1
TPR	0.406910283002319	0.60918486246129	1
CP	0.00182142010732022	0.640655901322456	1
DTNBP1	0.54297401804491	0.019600451856125	1
C12orf4	0.456073861307055	0.640655901322456	1
WWC3	0.201498648775459	0.354365624619421	1
ARHGAP6	0.865314849210451	0.269603408140199	1
FAM184B	0.794751385988549	0.0104443193483664	1
MAP4	0.637067428133294	0.662006203148412	1
GOPC	0.0261266474641041	0.0462521650786471	1
USP28	0.0912246093150989	0.362118279299247	1
HDAC9	0.381424027384796	0.853047912668327	1
CC2D2A	0.209887560570599	0.310074615721289	1
RRM2B	0.0104118088395839	0.0141884150193554	1
ZNF800	0.389813314691594	0.9673702565823	1
SNX29	0.61559418440011	0.716565579503623	1
LMO3	0.0272862742097741	1	3.57415623343507e-09
MRPS10	0.680885768260498	0.899765938477385	1
RSF1	0.0154545927637503	0.0608564500479017	1
VPS13D	0.00364238088073963	0.0954988281153306	1
CELF2	0.00661476639457069	0.189710853318659	1
FAM120A	0.631670798112107	0.0790902549462379	1
R3HDM1	0.0823366525867401	0.238769221089691	1
COL9A2	0.54297401804491	0.0790902549462379	3.57415623343507e-09
KITLG	0.150778870682061	0.191762959212326	1
ERCC8	0.307119580544439	0.946833961802666	1
H6PD	0.172743454316971	0.578420892719129	1
EPN3	0.279072916392956	0.0790902549462379	1
LTBP1	0.00646529253199746	0.161409789892606	1
ELN	0.0389395872155092	0.629309225710016	1
RFC2	0.0430413980217813	0.500158378158135	1
ARID1B	0.0472819436255755	0.0694834893535557	1
CLPTM1L	0.653367298215227	0.339177541811826	1
NEDD4L	0.583971051041197	0.296160522545273	1
HEXB	0.00332731598791021	0.0672377442624509	8.33969787801516e-10
PTCD2	0.924937874581048	0.717193862323111	1
DKK3	0.069026411412646	0.170465732142578	8.33969787801516e-10
ARHGEF5	0.104195680800425	0.433226935579151	1
MCUR1	0.74855116562505	0.958636533973896	1
LIMA1	0.0272862742097741	0.946833961802666	1
LETMD1	0.64248254655781	0.598849415191798	1
SLC4A8	0.97895519530301	0.750031981357858	1
LAMC3	0.918951968110163	0.436586762436574	1
MAPK9	0.874511266910462	0.0147835294423952	1
BCAR1	0.0297317906191519	0.640655901322456	1
HERPUD1	0.296289540466072	0.761296480002007	1
POLQ	0.261974649912804	0.748647643660318	1
PIK3CB	0.95492195030477	0.179897106213268	1
CYBA	0.212736724871237	0.738820537503303	1.48923176393128e-08
HEBP2	0.00276636510582432	0.0984815867449466	1
MPHOSPH9	0.0959353191233166	0.0376373084476228	1
PLEKHA5	0.325718829993052	0.0462521650786471	1
SIKE1	0.703199259335796	0.0387174650724041	1
RRP12	0.138426687758681	0.806839866740437	1
FNIP2	0.0421944678255938	0.971510179466646	1
MSMO1	0.0323529724632102	0.509624754672974	1
TTC17	0.61559418440011	0.101538275149045	1
FOXN3	0.0413609711724738	0.48679569137752	1
AKR7A2	0.0532874482494996	0.194763176462798	0.00704061086828701
MRTO4	0.484178631787963	0.761296480002007	1
USE1	0.310784542315723	0.783975673771804	0.000105148817062673
MCF2L2	0.00709120667588176	0.0109378177461234	2.01344134483509e-08
LAMA3	0.452571618525718	0.561324374081427	1
AP5M1	0.420008979973042	0.152721968493769	1
ANAPC4	0.360919740299306	0.0062568432903036	8.33969787801516e-10
TRAPPC3	0.537947676114568	0.238769221089691	1
THRAP3	0.109403893319245	0.795385805194481	1
ENTPD2	0.0823366525867401	0.0478986728808104	0.000751939447226489
ARID4B	0.0596415541735629	0.0694834893535557	1
SDCCAG8	0.296289540466072	0.436586762436574	2.38277082229005e-10
PTPRN	0.990979981137763	0.716565579503623	1
KIF1B	0.147042932057452	0.727664348535171	1
TBC1D22A	0.883139971374672	0.509624754672974	1
SYNE2	0.124250128189931	0.911506474750994	1
ATP9A	0.258693889247709	0.994088338219466	1
CBLN4	0.086693087092954	0.669523780175422	1
FAM168A	0.158355114276524	0.490786109629087	1
GALC	0.0715439325890635	0.772611799575185	1.18661986950044e-07
NOP58	0.0553427811007243	0.0288357353325397	1
SZRD1	0.692010525280089	0.899765938477385	1
KCNH2	0.990979981137763	0.449800772649932	1
CUL1	0.0272862742097741	0.232913564993497	1
FAM114A2	0.812265023474445	0.598849415191798	1
CYFIP2	0.0358901369511007	0.0097146594996231	1
TAB2	0.076793279454561	0.215959922023962	1
EIF2AK2	0.777336178380646	0.54840747009319	1
USP36	0.664323118350189	0.472328250759407	1
KMT2C	0.918951968110163	0.86468577953023	1
PUM2	0.138426687758681	0.165891280705499	1
ITIH4	0.947788955388469	0.994088338219466	1
ITIH1	0.63562409717067	0.694548778780357	1
HPF1	0.924937874581048	0.598849415191798	1
ZFR	0.503402192533129	0.282670603105127	1
ZNF280C	0.076793279454561	0.232913564993497	1
TRAF1	1	0.0347179770329465	1
RC3H2	0.00720983056934898	0.221509489353476	1
TRAF3IP2	0.0702763727555592	0.963576156439016	2.19691469815142e-07
GYG2	0.000183627080567499	0.0446535740619552	1
DCBLD2	0.201498648775459	0.238769221089691	1
SOAT1	0.708816958400393	0.490786109629087	1
PKP2	0.490506473050616	0.189710853318659	1
F7	0.0438486361369252	0.61773567964369	1
GDI2	0.0089177806511378	0.005217612336991	1
ATG5	0.604973127272146	0.500158378158135	1
TMCC3	0.818123379134625	0.140363651575472	1
PITHD1	0.823991467312772	0.331742496067516	1
MTA3	0.000512193326806376	0.994088338219466	1
USP13	0.0702763727555592	0.0816536593184558	1
ATP11B	0.518068762449255	0.705526359166247	1
CDK14	0.0715439325890635	0.194763176462798	1
SEC61A1	0.984967180393689	0.0984815867449466	1
PPP1R12A	0.664323118350189	0.436586762436574	1
RASGRF1	0.760027377839106	0.377939487321328	1
CAMK2B	0.00120939261819624	0.923266362134876	1
CROCC	0.488948498909822	0.463244705418096	1
POLR3E	0.249015337973542	0.958636533973896	1
ATP2B4	0.360919740299306	0.036010035626059	1
YIPF1	1.07058056458411e-06	0.187772757417198	1
NDC1	0.242699054938287	0.528835161908329	1
DGKG	0.160690970794968	0.463244705418096	1
FLYWCH1	0.568436248028942	0.004336913286459	1
UNKL	0.924937874581048	0.210511179936555	1
TBXAS1	0.859387236612333	0.189710853318659	1
PARP12	0.00760846922750936	0.0020039123359464	1
ALDH18A1	2.9385766860787e-05	0.55832602888094	1
TARBP1	0.437837040713213	0.439302933548159	1
GATB	0.725760170094755	0.0869826237433354	1
CDK17	0.714449857456282	0.179897106213268	1
SLC2A3	0.00682898485729275	0.876353071543692	0.0506053752260223
PSD	0.451476736301317	0.27608428271927	1
CTDP1	0.0261266474641041	0.165891280705499	1
YBX3	0.132212256363227	0.0141884150193554	0.00305072152960267
WNK1	0.794751385988549	0.528835161908329	1
CCAR1	0.00434934827264601	0.125100501967154	1
OGFR	0.558186008581476	0.189710853318659	1
GNA15	0.102501999242435	0.058772583538102	1
PTPRU	0.14268720382479	0.385744109234868	1.14772113582656e-05
SNRNP40	0.30348208784289	0.694548778780357	1
RIMBP2	0.929403446920979	0.970448180392886	1
COL11A1	0.000976262773947754	0.0629253624213935	0.00132199318133554
QSER1	0.806416705738058	0.783975673771804	1
MPC1	0.329520920358809	0.143461189972818	1
ACAA1	0.74855116562505	0.27608428271927	1
BCAT1	0.00176190908671781	0.0010851200558892	1
HDAC7	0.00285380923901232	0.06505208209248	1.19138541114502e-10
LZTS1	0.0047445310340333	0.436586762436574	1
NCKAP1	0.033036760407002	0.0125279726152653	1
