gene	p_value	fold_change	fdr
CDC27	0.11480587625308594	1.1846294602876284	0.33969835000737264
SLC4A1	0.349224009368175	0.9655342643322037	0.6195469163838617
CALCR	0.6138312298240749	0.9119784237152054	0.814838029987308
HCCS	0.027881666645532946	0.782833490305004	0.14872579072036748
DVL2	0.20988756057059912	1.2406236495463807	0.47602508795519494
PRSS22	0.403981518683045	0.3114158274508129	0.6671842451409162
UPF1	0.680885768260498	1.1495451803664873	0.8524788598487936
SKAP2	0.011812259665572667	0.46411982873293106	0.0884214660849965
SLC25A5	0.3107845423157232	0.8524287383445289	0.5837273553113228
MCUB	6.821247041323763e-06	0.2795761730016473	0.0007379030156531438
HOXA11	0.0022523845844209392	2.3010465078102866	0.031647651949892594
POLR2J	0.056393728257409334	0.7892384029656748	0.22522988810991898
DHX33	0.07154393258906354	1.3124258154087065	0.25911578110647826
MEOX1	0.18903027389165483	0.025562340023569958	0.45012982579156197
THSD7A	0.27566546265675307	1.2238326192508309	0.54956011726569
LIG3	0.0014886643144598464	1.4461215281578248	0.024591539386596292
RPAP3	0.8064167057380578	0.9585145909053924	0.9193781786406006
ACSM3	0.7608944960186422	0.836794849051181	0.8965829287048673
REXO5	0.16305156412356192	1.3550625696947247	0.41521780473811554
CIAPIN1	0.038939587215509164	1.2787125478798245	0.18156781418147883
SPPL2B	0.8239914673127718	1.0080334545986782	0.9295067612738698
COPZ2	0.0003855828165589327	0.3286893090816541	0.010166390390358155
PRKAR2B	0.0607563437041811	0.5553839837471295	0.23492204711271494
MSL3	0.3071195805444386	0.9489958160237049	0.580821752424642
CREBBP	0.15973303205009892	1.3166554309705658	0.4104664082720813
TSPOAP1	0.47001517723443464	1.3103299435227254	0.7172917560880914
MPO	0.003912468748204195	0.1752805678536144	0.04532957109080105
PON1	0.5225434480226361	0.9286460381204155	0.7558009136706464
GCFC2	0.05267909704037866	1.2910112960505153	0.21698607181710367
WDR54	0.36904074503398016	1.0607331302234289	0.6377280095151326
CROT	0.36496675082821073	0.778770077282632	0.6342193464226967
ABCB4	0.08234487914145276	1.443616815843652	0.28184250714641873
KMT2E	0.40259644215496143	1.1331128568033104	0.6657541270471327
RHBDD2	0.0011268942283984022	0.5935003735183638	0.020201926740350522
SOX8	1.4710154902163941e-05	3.14615840120075	0.001254405146184079
IBTK	0.23958161725731716	1.223133514854401	0.5119945536544517
ZNF195	0.1777405695696927	1.1206364631644474	0.4343928120996453
MYCBP2	0.35290688228293726	1.1695045015113648	0.6233908919005585
FBXL3	0.8831399713746723	0.9579207484665592	0.9545919149305654
ITGAL	0.7257601700947548	1.6550593231041717	0.8786391968890039
PDK2	0.5996922763868605	1.0269883627735672	0.8052755344218795
ITGA3	0.018653310794539416	0.3368743711487669	0.11673581046328121
ZFX	0.5131565198060334	0.9039458467416466	0.7484834021456213
LAMP2	0.08233665258674014	0.7522931782245392	0.28184250714641873
ITGA2B	0.34109122825643073	1.2494067492607834	0.6130445307246265
ASB4	0.2279454793288812	1.177716690282162	0.4980081904839681
GDE1	0.37314166328303283	0.9203337311302199	0.6415352672428567
REX1BD	0.15149484290078905	0.7905929559432048	0.39788413858973887
CRLF1	0.7086711704142994	0.22725588097504146	0.8682938941036528
OSBPL7	0.025007671687552628	1.5369908990578325	0.13887363822735665
TMEM98	0.009113005062862332	1.6454062722672802	0.07613340637468968
YBX2	0.3653519793630654	0.537963606658662	0.6343070048281655
KRT33A	0.4166479571954692	0.13211969014389616	0.6762893318757977
MAP3K14	0.8416510797660218	0.9324604325324005	0.937859590973604
ABCC8	0.22738212175954933	1.3636827719594715	0.49723587236109834
CACNG3	0.43424263459436496	0.18261942515124688	0.690812393241221
TMEM132A	0.5329438027014509	0.8475158282377087	0.763094417321496
AP2B1	0.00989207379160602	1.3217085931724386	0.07982389128256333
TAC1	0.3257188299930522	0.2550427717205049	0.5991821174422769
ZNF263	0.3983089443904342	1.0175868993276325	0.6621344069419836
CX3CL1	0.5131565198060334	1.7142436885402923	0.7484834021456213
SPATA20	0.0004186638575075038	0.4267485453689764	0.010842305727051374
CACNA1G	0.08092270264384692	0.38161624030871805	0.2790881756931248
TNFRSF12A	0.0001453023028199279	0.27768639326952094	0.0055795494821177585
DLX6	0.20504708918523817	0.39482506849893106	0.4704036947254418
MAP3K9	0.8298689852229656	0.5830653433467838	0.9328019094677569
RALA	0.720097684691909	0.9406808588610968	0.8752334876081613
BAIAP2L1	0.06446548707186218	0.4021264840135147	0.2442746468689798
KDM7A	0.02670131246250393	1.2846892763708757	0.1447130106577904
ETV1	3.3090790636015184e-05	2.5906198754748013	0.0021163572889540657
AGK	0.31819683041169516	0.8878717225125793	0.5916647260073937
ALDH3B1	0.24901533797354247	0.7376819032124877	0.5214145960819746
TTC22	0.6189826241262367	0.511744704251039	0.8161991747735367
PHTF2	0.9249378745810481	1.0165507160108105	0.9754330624307181
CCL26	0.010891577712797591	0.19361358218501076	0.08488549762046806
FARP2	0.27907291639295584	1.098285433039994	0.5529177791978072
USH1C	0.08969439397832257	1.5468051894550172	0.2959227208789865
GGCT	0.021884115592315907	0.7249832150924622	0.12809730773194658
DBF4	0.35290688228293726	1.1862903223882528	0.6233908919005585
TBXA2R	0.8745112669104622	0.9689805388207595	0.9518411311379268
IFRD1	0.2857068381710433	0.8209969575983899	0.5595042869102527
LGALS14	0.4840583756173895	0.2518398215250349	0.7275169202617617
COX10	0.025221310178166444	1.2213991854247934	0.13977301609568762
GTF2IRD1	0.08522169137475803	1.1930448089183538	0.2874789450134612
PAF1	0.7031992593357959	1.0272321624120786	0.8644889394432074
VPS41	0.9309278478807853	0.9737809649534305	0.9784795451796761
ARHGAP44	0.6246997400032694	0.568109428147033	0.8194312508448902
ELAC2	0.34500256978567745	1.0984906431445196	0.6167927841337183
SCIN	0.9729443543493346	1.035661506589837	0.9975525114919439
ARSD	1.7680678465525074e-08	0.19683663810049873	1.1954033001101971e-05
PNPLA4	1.2950814340742247e-06	0.17590963281821537	0.0002428805159093193
MYH13	0.6102144291119216	0.47824264343251677	0.8116547700765125
ADIPOR2	0.2892069256027823	1.2595842612263914	0.5629795690063004
CDKL3	0.9171667610322668	0.9911529440586839	0.9723704492925765
UPP2	0.8831399713746723	1.106779821909415	0.9545919149305654
PRSS21	0.26887413633564283	0.5356268581683328	0.5421390163968357
MARK4	0.9729443543493346	0.9596040323818126	0.9975525114919439
PROM1	0.1384266877586805	0.5631846530705787	0.3781465549725224
CCDC124	0.6102738364201088	1.1756384899874066	0.8116547700765125
CEACAM21	0.7144498574562824	0.9929904813669729	0.8715846276262974
PAFAH1B1	0.6864400185367299	1.0282981673452074	0.8562295572852892
NOS2	0.09593531912331656	0.1024254132552696	0.30667874473547885
DNAH9	0.00701722405613785	0.49487848282432895	0.06531124316949147
SLC13A2	0.8452028413486128	0.7676583210603829	0.9406181533332292
GAS7	0.9729443543493346	0.9116822288753791	0.9975525114919439
TRAPPC6A	0.40259644215496143	0.8648339579030754	0.6657541270471327
MATK	0.9369215669136052	0.644271223196656	0.9813468066416654
CEACAM7	0.2133293881319629	0.0	0.48061443465067166
CD79B	0.001049264749439948	0.2775702207739445	0.01957007977502232
SCN4A	0.06786156733299342	0.11751586091737055	0.2518007313173066
ST7L	0.30348208784288966	1.124612299437512	0.5767713487555209
TKTL1	0.056393728257409334	1.4932103764562639	0.22522988810991898
PAX6	0.8890947219291804	0.839276765890952	0.9575294220526405
RPUSD1	0.5556252962808215	1.0627383154402874	0.7785169479603458
RHBDF1	0.058542959249817055	0.6271121559007	0.23027672113412287
LUC7L	0.8475550398583394	1.1102898331882198	0.9406181533332292
CACNA2D2	0.03663375510900548	1.2409851554614717	0.17561752797381178
BAIAP3	0.0204472339323378	0.32840459329241983	0.12288463034066249
TSR3	0.9189519681101626	1.0565657121092593	0.9723704492925765
PIGQ	0.40259644215496143	0.8891855700560825	0.6657541270471327
CRAMP1	0.16305156412356192	1.322684569484	0.41521780473811554
TEAD3	0.0020769932995101693	0.40967754397375195	0.030480279188393033
SELE	0.015232810912541516	0.15945092889320092	0.10354482706833876
DNAJC11	0.09434492142118811	1.3157507101776884	0.30426638968049613
FMO3	0.4618969951606109	0.6279733426730213	0.7124142101503604
MYLIP	0.054307406421561816	1.1920483363715235	0.2206209251001259
NOX1	0.4618969951606109	1.0636922906343929	0.7124142101503604
E2F2	0.031019868368814298	2.102031569436448	0.1587985743888652
PSMB1	0.6975970258880173	0.8943786268204564	0.8609563398582734
SYN1	0.8712497186161992	0.41689546129986454	0.9492735783092526
JARID2	0.0033273159879102106	1.6033507762958308	0.040769850464160644
CDKL5	0.5944315041066967	0.8035025695296774	0.801565838324943
CAMK1G	0.3107845423157232	0.29553646151570345	0.5837273553113228
CDK11A	0.7144116308700963	1.0183875530410182	0.8715846276262974
NADK	0.5230041714164845	0.8981386286212337	0.7558009136706464
TFAP2B	0.49026150558932813	0.3094105252580525	0.7312791620095848
TFAP2D	0.3068865572625158	62.99465739257179	0.580821752424642
DLEC1	0.8475550398583394	0.8152011204095176	0.9406181533332292
CYTH3	0.5230041714164845	0.9030754318518321	0.7558009136706464
ADAM22	0.001593252893303939	1.7572122795972167	0.025713444606254788
SYPL1	0.007814665303364141	0.5897823896034293	0.0692600322368851
CYB561	3.7853462569643757e-07	0.33064630657665534	0.00010093012674731352
SPAG9	0.09754607673129173	1.3595893734581648	0.3096319212944473
CELSR3	0.06303512844503789	1.6093281340598187	0.2404428806353037
AASS	0.46069606126284657	1.1457776013796312	0.7111308713917175
PLEKHG6	0.01746841183579453	0.28849427496493735	0.11237569297140884
SS18L2	0.019089096540951984	1.2731057813139568	0.11782709051736616
MPND	0.033159986197703294	1.3378663816456577	0.16502410586454286
MGST1	0.15604388233254116	0.5621890989237863	0.40494403515247934
CRY1	0.9669349818332705	0.9652228809709178	0.9953263085795032
PGLYRP1	0.2131284090552268	0.515068856345233	0.4804970717904607
NFIX	0.08376959798306598	1.3842242803865434	0.28481362417697953
ST3GAL1	0.29273449215624125	0.7301581866471515	0.5664680232045184
MMP25	0.9969932729397027	0.9708612730019973	1.0
IL32	0.026768010209160503	0.4473931992329232	0.1448671244338529
PKD1	0.37314166328303283	0.7622030744664272	0.6415352672428567
MAPK8IP2	0.15149484290078905	1.0215531824912703	0.39788413858973887
MED24	0.0018826432462772178	1.5290002854908444	0.02871903247000323
RHOBTB2	0.9909799811377633	0.8912802519869957	1.0
HEATR5B	0.09754607673129173	1.3012302954533146	0.3096319212944473
SEC62	0.7889349830171634	1.047790714618074	0.9086960430456267
RPS20	0.011234261645462386	1.4136509856385457	0.08599911330782387
CSDE1	0.025562144631039337	1.2767130120405126	0.14079632237713288
UBE3C	0.01068015074053328	0.7087840766154397	0.08361701144294273
REV3L	0.058542959249817055	1.4429577320103448	0.23027672113412287
TENM1	0.04390191088185463	0.4429056949104494	0.19459308707665418
PAX7	0.3193941483113777	0.22049299610206344	0.5933407031055693
MASP2	0.24901533797354247	1.5636180522574465	0.5214145960819746
IYD	0.2657602809896794	0.6725634028167561	0.5390665251704297
FAM76A	0.06902641141264595	0.7872192104654273	0.2543283367950176
TRAF3IP3	0.8357556245814166	0.9212411319397191	0.9352538706006265
POMT2	0.2857068381710433	1.1626386349453819	0.5595042869102527
VTA1	0.04477615777788309	1.3604779980055959	0.19676356613117565
MLXIPL	0.4889484989098217	1.4824683747902765	0.7299908543266431
BAZ1B	0.2822342211189929	0.8073959264503225	0.5565066654464801
RANBP9	0.5480226443199718	0.9192637602534651	0.7721506906535714
ETV7	0.00846176426395559	0.41560699583645766	0.07261543938392714
SPRTN	0.022887445069077375	1.277076900547697	0.131576745400153
DYRK4	0.005024602725699264	1.3725451028919589	0.052756935219197325
ZNF207	0.04841350704081135	1.217078538973116	0.2058199195575117
UQCRC1	0.9969932729397027	0.9506181730652811	1.0
STARD3NL	0.1384266877586805	0.7808341654154254	0.3781465549725224
CD9	0.13018729390881775	0.7298397498195228	0.3645821983709806
HHATL	0.7657846682687334	0.8380876897414588	0.8997684679118292
NCAPD2	0.03235297246321022	1.3059062033454722	0.16228779059380835
IFFO1	0.48417863178796344	0.94778789378428	0.7275169202617617
GIPR	0.24901533797354247	2.2163037284380604	0.5214145960819746
PHF7	0.9669349818332705	1.066056214663639	0.9953263085795032
SEMA3G	0.20149864877545898	1.3437310393600566	0.4658733414714477
NISCH	0.10764648309271344	1.1747967558578327	0.327366356855929
STAB1	0.48417863178796344	0.6747642577305609	0.7275169202617617
FUZ	0.8890947219291804	0.9932837759912445	0.9575294220526405
SLC6A13	0.3983089443904342	1.1341828309688682	0.6621344069419836
IDS	0.0009762627739477544	0.41056897839830375	0.018820397732795254
PRSS3	0.26861822119877904	0.463589967634562	0.542133427027088
ZNF200	0.5530933713202311	1.0440632056950994	0.7757157069538668
CD4	0.9909799811377633	0.9578535413858341	1.0
LRRC23	0.6316707981121067	1.0870834643097083	0.8225450460214812
BTK	0.7831298160210926	1.0148028630206818	0.9086960430456267
HFE	2.2258239053400953e-06	0.22481625847744238	0.0003453858389507651
SCMH1	0.31819683041169516	0.8765877008477687	0.5916647260073937
FYN	0.014034992507099747	1.5272662986711694	0.09862525729469387
HIVEP2	0.35290688228293726	0.7423826865397165	0.6233908919005585
FMO1	0.2309312335133199	0.5228452176373458	0.5017513120211935
ELOA	0.11118283365496999	1.1764202973379938	0.3333548026484379
LYPLA2	0.48417863178796344	1.0267723968043345	0.7275169202617617
CLCN6	0.13633182487958895	1.3321409564321587	0.3747492052846665
MRC2	0.0005121933268063761	0.28337918107390936	0.012495273028056066
SLC6A7	0.38610978247057615	0.24687523007428538	0.6519886086834784
TSPAN9	0.16305156412356192	0.6059181404392322	0.41521780473811554
BTBD7	0.4378370407132128	1.1011099170515988	0.6932663949265498
APBA3	0.5996922763868605	1.0690164169919623	0.8052755344218795
MKS1	0.08818393679727381	1.2810199835830405	0.2930846396610236
ABHD5	0.6698270635743053	1.07143169912067	0.8451653639014268
ANOS1	0.011234261645462386	2.006026897353595	0.08599911330782387
AKAP8L	0.09231470231792077	1.1922143339544051	0.30192857367844783
MBTD1	0.000256659184659098	2.0871614517863346	0.008084550789985663
UTP18	0.1777405695696927	1.1489832055579852	0.4343928120996453
RNF216	0.20706487486779482	0.816985561898145	0.47296635450316404
TTC19	0.4665996147127638	1.150291821952746	0.7154124326660185
PTBP1	0.42000897997304243	1.1070642883525224	0.6786028846863246
DPF1	0.10764648309271344	1.2841992259962562	0.327366356855929
SYT7	0.38142402738479625	0.5100444295188734	0.6487788690010886
LARS2	0.4856732318293048	0.8986092081484707	0.7292995916364375
PIK3C2A	0.19690805533623024	0.800697078749352	0.4604331022196362
PLAUR	0.0006475664073529311	0.33820620070776136	0.01462897333842284
ANLN	0.11874832377183105	0.5932536363734359	0.34579672624589036
WIZ	0.19068059580386057	1.232715996975741	0.4522959978903502
RABGAP1	0.004108359456897468	1.5524917700225433	0.046488555217289874
DCN	0.056393728257409334	0.29853312031574114	0.22522988810991898
QPCTL	0.004101752802144777	0.6276786276946719	0.046488555217289874
PPP5C	0.4423582070321574	0.884200023292061	0.6971017412241548
CEP68	0.0002994153566479803	1.4940487273554641	0.008760791525043145
MAP4K3	0.1204054527844645	1.279784318512586	0.34863805852901464
ZBTB32	0.1401299659676503	1.4616496543493356	0.3816754275254677
TYROBP	0.34500256978567745	0.7291313416413835	0.6167927841337183
GABRA3	0.012694513373503136	1.9486692772513696	0.09287274778814725
BRCA1	0.9909799811377633	1.0309724146206483	1.0
ERCC1	0.49856043118410764	0.9060401493664937	0.7371903087359479
CD22	0.6588364477682731	0.44343784490902	0.8388212248773406
SEMA3B	0.10419568080042456	0.6206355911676567	0.3215729431419689
MBTPS2	0.9729443543493346	0.9866529608878581	0.9975525114919439
PRICKLE3	1.2694992569616794e-07	0.27265994896721507	4.904671517049297e-05
LTF	0.0011675194064354336	0.025139128593625378	0.020811967874980408
EXTL3	0.2719810832199535	0.7246796168329661	0.5457784488485202
NR1H4	0.05120698908119526	1.4208484214853594	0.213363134798865
ELOVL5	0.49374248274991145	0.9372102244826961	0.7330435997912771
ALOX5	0.25869388924770936	0.7005276642533043	0.5320875725063435
KDM5D	0.4808653772278868	1.4986727569178173	0.7264017928921899
CALCOCO1	0.014034992507099747	1.410998349962067	0.09862525729469387
UBR7	0.6049731272721461	0.9049379686476862	0.8083530683504374
MAP4K5	0.0029436029928049793	1.6523935319117709	0.037677720254760697
EHD3	0.014730560572802679	1.6514064531968238	0.10114771207969804
PSMC4	0.6424825465578098	0.9878449694269019	0.8294917198994679
MAN2B2	0.30348208784288966	0.8617787288927182	0.5767713487555209
SLC7A14	0.5581860085814756	0.7427894317671354	0.7798314960250714
CLDN11	0.5034021925331287	0.4179612393653666	0.7411079327198584
SLC25A39	0.8771915319695551	1.0220374524305005	0.9518578981838616
MVP	0.22738212175954933	0.7502152343149251	0.49723587236109834
NUB1	0.23039155870946673	0.8669023266377015	0.5010387820710988
PGM3	0.15149484290078905	1.2772852335770517	0.39788413858973887
RWDD2A	0.06902641141264595	1.3731031121859267	0.2543283367950176
CLK1	0.019985936552114603	1.4305247651023327	0.12118954672263983
POLR3B	0.0006990181082397055	1.7441745921730745	0.015387339310564959
ANGEL1	0.13603675600044587	1.4162572651140826	0.3747492052846665
RNF14	0.008687252860099744	0.7518753383458783	0.0738475006262004
DNASE1L1	0.19068059580386057	0.7914548461206297	0.4522959978903502
DDX11	0.056393728257409334	1.5474218171427034	0.22522988810991898
HEBP1	5.04340001495275e-06	0.4516566471459706	0.0006042823144498134
GPRC5A	0.03738977188077858	0.33374199543952515	0.17766711131401086
MAMLD1	0.007406885301882256	1.5394315264638714	0.06734858100381028
CD6	0.00964049215881269	0.43367046483042637	0.07873345861021701
TACC3	0.5891910241235689	0.6970276399092546	0.7974530119170147
UFL1	0.26197464991280356	1.3068864770463469	0.5350698980685626
POLA2	0.39034609217687677	1.1451525173234658	0.6552843727055471
ZC3H3	0.029731790619151866	1.4405992661739844	0.15446007909197693
CAPN1	0.23039155870946673	0.8530778570074368	0.5010387820710988
ACP3	0.25260876288860146	0.5833273201127372	0.525047923830052
MDH1	0.3071195805444386	1.0279169598089477	0.580821752424642
SLC30A9	0.3071195805444386	1.1047841770235531	0.580821752424642
MTMR11	0.4387850374624772	0.791959696273859	0.6941173813610494
COX15	5.4456317634966435e-06	1.5549586184153033	0.0006324616865935887
CCDC88C	0.08818393679727381	1.4290032550270015	0.2930846396610236
YAF2	0.3257188299930522	1.097740962024551	0.5991821174422769
ZMYND11	0.001761909086717808	1.6694148806616433	0.027475041944526213
WAS	0.9429187058969091	1.0635406217572654	0.9839264701430044
DPEP1	0.7831298160210926	0.8044103767140585	0.9086960430456267
BID	0.02091728034340255	1.4240207863252377	0.12479830891300146
MATR3	0.4032232353859999	1.4597186808984088	0.666150992908485
NPC1L1	0.8412434942415605	0.7292307661017018	0.937859590973604
XYLT2	0.5131565198060334	0.8948993749908178	0.7484834021456213
RGPD5	0.5478961115762637	1.0828914349302234	0.7721506906535714
STMN4	0.04841350704081135	1.3748884705321394	0.2058199195575117
NUDCD3	0.019089096540951984	0.7406778976923509	0.11782709051736616
ISL1	0.9238330474760384	0.15111917332694721	0.9754330624307181
CHDH	0.002853809239012316	0.44182582954383537	0.036877448944533896
IL20RA	1.4710154902163941e-05	0.0687790321554763	0.001254405146184079
CLCA1	0.6813374903117024	0.5492454171934261	0.8529559601303291
CLCA4	0.630139622917751	0.6556086656919283	0.8225450460214812
GLT8D1	0.10487178249403158	0.860308195008138	0.3231853677998554
ATP2C1	0.8122650234744453	1.0667953507716654	0.9228223704851901
IGF1	0.9324652766957078	0.8652952695839724	0.9798780111130464
SLC38A5	0.20149864877545898	1.1213991215639634	0.4658733414714477
RALBP1	0.04390191088185463	0.7209828052144831	0.19459308707665418
RUFY3	0.003054821059015447	1.5591980801534915	0.03868282104897754
CNTN1	3.939587197101012e-05	2.705955936307025	0.002352691647581049
SLC11A1	0.2220575036312331	0.6469111654591195	0.4910946964068778
WWTR1	4.938324829134593e-05	0.2941349729933311	0.002765900217170029
AGPS	0.09593531912331656	1.1686921990183943	0.30667874473547885
ATP1A2	0.9849671803936887	1.08540828116032	1.0
TTC27	0.16543700209625734	1.1708392977474058	0.41870158912891015
ZNF582	0.6209339451211492	0.8800529210344391	0.8161991747735367
VSIG2	0.08669308709295395	0.5704126141683703	0.29016740306872546
PHLDB1	0.6479159174171651	1.0135213317036615	0.8328713405733926
MARCO	0.004224006991308763	0.05466686799004998	0.04740051947389816
CYP24A1	0.5923520601592673	0.3976633231399262	0.8007070416678594
PRDM11	0.02423368885947512	1.3786913436651427	0.13694566083543985
SYT13	0.7889349830171634	0.3088010388846316	0.9086960430456267
SNAI2	0.038158334010644265	0.3595101700354466	0.17978482358275424
CD74	0.4423582070321574	0.8297128095586689	0.6971017412241548
HGF	0.7715543658109477	0.8628800117925465	0.9031842505050118
ZRANB1	0.0028331678383206166	1.7139723690419462	0.036877448944533896
NCDN	0.36496675082821073	0.6239757545346096	0.6342193464226967
ADGRA2	0.7428328146704418	0.7108325443963651	0.8872326302639568
ZFP64	0.5230041714164845	1.0229529606426058	0.7558009136706464
MNAT1	0.001593252893303939	1.5408021629630095	0.025713444606254788
SAMD4A	0.5891910241235689	0.8665064733199852	0.7974530119170147
RUNX3	0.37314166328303283	0.8035529334823754	0.6415352672428567
MRE11	0.05228275276460131	1.4552998766089345	0.21549418519195893
PLEKHB1	0.8534671966360218	0.9929122904338402	0.9441165529627872
SERPINB1	0.025562144631039337	0.5765933215904789	0.14079632237713288
CYP3A43	0.19676246311309242	1.6759836549649028	0.4604331022196362
SLC7A9	0.398903024796631	0.7699971690220672	0.6623077672710946
SPAST	0.007209830569348976	1.4226774394287298	0.0661605925876614
NRXN3	0.6864400185367299	0.5070276150248997	0.8562295572852892
OSBPL5	0.3946105289585221	0.8501260452104971	0.6594455627643095
AQR	0.19875495607993285	1.175413806523244	0.46263741221556726
CPS1	0.003534649950843401	3.174984290256939	0.04229738193389154
C8B	0.4587453758448532	0.4231294502767903	0.710796260445156
FHL1	0.09434492142118811	1.2072930537907798	0.30426638968049613
RTF2	0.7031992593357959	1.0141468238726035	0.8644889394432074
GABRA1	0.3184438157783337	0.1917975879524335	0.5917216211719313
NLRP2	0.054588856787616914	0.3624105188928412	0.22138424332613021
SLC45A4	0.07834822981368272	1.2601747742561706	0.27385715262238325
RNF10	0.22144378792881614	1.1252870615733468	0.49002365275048726
ZNF839	0.34500256978567745	1.0808294926775939	0.6167927841337183
ZDHHC6	0.18027727119291914	1.1534535362722367	0.4384978826870297
GRAMD1B	0.27537135803204016	1.0680006795613168	0.549552517278574
RNH1	0.006828984857292747	0.7449238991133093	0.06425423078201242
NDUFS1	0.22439955050962548	1.1589930590643658	0.49379378015781933
RB1CC1	0.2458436145932387	1.2645953883368697	0.5179240449437571
ERP44	0.5787717926603946	0.8685712822212303	0.7914424159819365
ALAS1	0.5633003663620569	1.0551581110840504	0.7810047777647648
BIRC3	2.163855757055149e-05	0.1273563912309649	0.001593928145401207
AKAP11	0.5230041714164845	1.0206860547040737	0.7558009136706464
GLRX2	0.6316707981121067	1.0305668849688305	0.8225450460214812
SNAPC1	0.48417863178796344	0.8844151817788338	0.7275169202617617
DERA	0.7947513859885488	1.0266883430388323	0.9128405829480171
STRAP	0.8357556245814166	1.0347554893627022	0.9352538706006265
ABCC2	0.021035894563438767	2.1481752261913836	0.12531119544953026
DEF6	0.7831298160210926	0.9979746448169257	0.9086960430456267
