,OE,KD
CDCP1,0.004827157,0.99999987
ASS1,0.012010298,0.630478077
SEZ6L2,0.010965748,0.739535373
IMPG2,0.021013626,0.368423841
KIF2C,0.005058999,0.99999987
CEMIP,0.005083227,0.99999987
MMP11,0.008098157,0.99999987
NRXN3,0.010819815,0.802729372
LEMD1,0.005202688,0.99999987
ATP1A2,0.006087338,0.99999987
GAD1,0.005558657,0.99999987
GSTM5,0.005706039,0.99999987
DLGAP5,0.049531974,0.176868976
TMEM26,0.027383898,0.314504725
NELL2,0.005970111,0.99999987
CHPF,0.047390265,0.186993963
TLX2,0.039876346,0.233444998
SSTR2,0.006087338,0.99999987
PTHLH,0.009970131,0.99999987
ANGPTL1,0.015528171,0.610251344
THSD4,0.006513321,0.99999987
HIST1H2AC,0.015448658,0.633972501
WNT10A,0.011827362,0.8549602
PTPRD,0.006799379,0.99999987
CAPN6,0.007855064,0.99999987
LOXL3,0.008159593,0.99999987
TFAP2A,0.030200943,0.34408381
APBA1,0.008511543,0.99999987
TBX3,0.011719844,0.93775627
GFPT2,0.012129824,0.893260801
LMO2,0.007123305,0.99999987
KREMEN1,0.010793161,0.99999987
MGP,0.008582465,0.99999987
DCC,0.031909404,0.353983922
TTBK1,0.035904596,0.315918245
COL5A2,0.007880287,0.99999987
CBSL,0.022787056,0.475238582
CALB2,0.00791554,0.99999987
PSD3,0.014436988,0.804201379
SLC16A10,0.011536215,0.99999987
COL23A1,0.046022992,0.25609838
FABP7,0.010548009,0.99999987
EEPD1,0.016420303,0.760953504
MYEF2,0.016597586,0.753941849
GRIN2D,0.036685627,0.353753723
SLC40A1,0.034629027,0.376829785
CTXND1,0.009410651,0.99999987
RRM2,0.019790171,0.666750517
PIEZO2,0.010672575,0.99999987
TMEM100,0.009960149,0.99999987
FAM189A1,0.014899324,0.902925421
MYPN,0.013599468,0.993701101
FAM43B,0.025261653,0.536363436
TSPOAP1,0.012078343,0.99999987
CD40,0.026577514,0.517948917
CFI,0.016597586,0.850062516
COL8A1,0.009856498,0.99999987
EXO1,0.012010298,0.99999987
KIF18B,0.009769915,0.99999987
CDCA2,0.010606729,0.99999987
LYPD3,0.0177005,0.843628159
THY1,0.010491739,0.99999987
STXBP2,0.018623985,0.81263241
RAP1GAP2,0.01376826,0.99999987
BTG2,0.01113832,0.99999987
WLS,0.010606729,0.99999987
SLC7A2,0.021248107,0.723600671
HMGB2,0.011464108,0.99999987
GPRC5B,0.010672575,0.99999987
BTBD11,0.01113832,0.99999987
ARHGAP36,0.010965748,0.99999987
C3,0.010965748,0.99999987
IGDCC4,0.011010948,0.99999987
TSPAN11,0.021313543,0.788032489
SULF2,0.013112168,0.99999987
PLEKHG3,0.045135154,0.383116868
LIPG,0.011674181,0.99999987
BMP3,0.048773615,0.360627691
OLFM2,0.013580174,0.99999987
CYFIP2,0.043032198,0.409032663
ALPL,0.018623985,0.956837064
TAGLN,0.021692797,0.806777403
SCN1A,0.021132592,0.846135399
H2AFZ,0.035088338,0.526663403
CACNA1A,0.011719844,0.99999987
ITGBL1,0.011719844,0.99999987
LONRF2,0.011887837,0.99999987
FAM155A,0.037443183,0.5146264
SYNJ2,0.012078343,0.99999987
DRD2,0.012130025,0.99999987
ITGA9,0.012129824,0.99999987
SLIT3,0.012334475,0.99999987
MGMT,0.043494836,0.462912955
STARD8,0.01438144,0.99999987
CDC45,0.013580174,0.99999987
RAD54L,0.013580174,0.99999987
ZNF75D,0.013700801,0.99999987
MELK,0.019087829,0.99999987
CPM,0.013933278,0.99999987
MCM4,0.013845097,0.99999987
POLQ,0.040272865,0.563346872
TMEM132B,0.030913761,0.736395649
FANCA,0.016977605,0.99999987
CCR1,0.036337805,0.644011424
GUCY1B1,0.014858533,0.99999987
APLN,0.015915376,0.99999987
FIGNL2,0.045054469,0.522190239
LAMA4,0.014899324,0.99999987
DCLK2,0.015443993,0.99999987
ZNF385B,0.016832626,0.99999987
IL1R2,0.021542906,0.99999987
C1orf198,0.015871149,0.99999987
LGI2,0.019465476,0.99999987
ZBTB7C,0.022187611,0.99999987
AC004551.1,0.016597586,0.99999987
CRABP2,0.021313543,0.99999987
MFHAS1,0.016420303,0.99999987
SPATA13,0.019462017,0.99999987
PCP4,0.018623985,0.99999987
PPEF1,0.021132592,0.99999987
GAS6,0.048697072,0.569986834
NAV3,0.028624233,0.95596469
TMEM35A,0.020697967,0.99999987
CMBL,0.017289355,0.99999987
FREM1,0.017541997,0.99999987
CDC20,0.036337805,0.792021549
SYTL5,0.024125442,0.99999987
MILR1,0.039015696,0.747295458
SHROOM2,0.017745107,0.99999987
LYPD6,0.022182339,0.99999987
CEP152,0.026970418,0.99999987
CENPF,0.021248107,0.99999987
NKAIN1,0.019261561,0.99999987
LMNB1,0.018721398,0.99999987
NHSL2,0.021013626,0.99999987
ENOSF1,0.019758404,0.99999987
BRINP2,0.019816825,0.99999987
E2F7,0.034629027,0.931260471
C1QTNF6,0.021313543,0.99999987
ZSCAN31,0.026577514,0.99999987
L1CAM,0.021013626,0.99999987
AURKA,0.020640234,0.99999987
SHROOM3,0.020775019,0.99999987
PCLO,0.034799157,0.964044576
NDNF,0.020775019,0.99999987
ASTN1,0.020775019,0.99999987
SPATA18,0.02629671,0.99999987
TRIL,0.022808439,0.99999987
C6orf141,0.021692797,0.99999987
UBE2T,0.021692797,0.99999987
ABCA1,0.04801343,0.771423086
KDELR3,0.036581789,0.99999987
IGSF10,0.033436437,0.99999987
IL31RA,0.02262804,0.99999987
TGFA,0.022808439,0.99999987
MKI67,0.022808439,0.99999987
PKP1,0.040966026,0.935050742
PIK3IP1,0.043522389,0.880979471
LHFPL4,0.038125111,0.99999987
NOS1AP,0.024072452,0.99999987
AC092338.1,0.024125442,0.99999987
GLI2,0.025969127,0.99999987
SVEP1,0.024661514,0.99999987
A2M,0.026115985,0.99999987
CLSPN,0.031990537,0.99999987
FKBP9,0.025934956,0.99999987
TMEM63C,0.043285512,0.982253756
AURKB,0.034629027,0.99999987
ARHGAP20,0.036843804,0.99999987
ITGA10,0.034506061,0.99999987
PODNL1,0.040801971,0.99999987
ANO4,0.02994505,0.99999987
CRYBG3,0.046177941,0.985193544
PKNOX2,0.043001666,0.99999987
NR3C2,0.030913761,0.99999987
ADAMTS4,0.038282241,0.99999987
SLITRK5,0.042615394,0.99999987
CDH8,0.034764074,0.99999987
ZWINT,0.030262983,0.99999987
AC027237.1,0.039816153,0.99999987
CHST11,0.030032651,0.99999987
STC2,0.034764074,0.99999987
ZNF662,0.039816153,0.99999987
ROBO2,0.044001404,0.99999987
DAAM2,0.034284341,0.99999987
PAMR1,0.036581789,0.99999987
CDCA5,0.034284341,0.99999987
GPHN,0.034356663,0.99999987
BMPER,0.04084186,0.99999987
NCALD,0.038282241,0.99999987
BIRC5,0.035088338,0.99999987
TIAM1,0.035342891,0.99999987
CHST6,0.03663438,0.99999987
BRCA1,0.039816153,0.99999987
FOXM1,0.03731965,0.99999987
UCHL1,0.041888656,0.99999987
TPX2,0.03663438,0.99999987
FAM149A,0.041888656,0.99999987
PCSK1,0.048682443,0.99999987
ISLR,0.049207512,0.99999987
UBE2C,0.040766167,0.99999987
CCL2,0.042615394,0.99999987
SYNM,0.039015696,0.99999987
FKBP5,0.039699149,0.99999987
KCNE4,0.048697072,0.99999987
CTTNBP2,0.039876346,0.99999987
TMEFF2,0.039876346,0.99999987
TICRR,0.040801971,0.99999987
SGK1,0.041898284,0.99999987
FANCI,0.044001404,0.99999987
ADRA1A,0.041888656,0.99999987
NKX3-1,0.045135154,0.99999987
PTPRB,0.047010227,0.99999987
